Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Gedenkstätte Bautzner Straße Dresden,DORT & HIER - Verschobenes Gedächtnis,https://codingdavinci.de/de/daten/dort-hier-verschobenes-gedaechtnis,"-- English version below --
1945 ging der schlimmste militärische Konflikt der Menschheitsgeschichte zu Ende. Das menschliche Leid, das er verursachte, überwog jedoch. Europa schwelte in Asche, während Staatsgrenzen neu gezogen wurden. Was im Krieg geschah, bestimmte auch die Nachkriegsrealität – Millionen von Menschen wurden gezwungen, ihren Geburtsort zu verlassen. Ob nur wenige Kilometer entfernt oder in einem fernen Land, ob durch den Eisernen Vorhang von ihren Geburtsorten getrennt oder nicht, sie mussten ihre Existenz von Grund auf neu aufbauen. Damit haben sie dazu beigetragen, jenes Europa zu schaffen, in dem wir heute leben.
Diese Geschichten sind Teil der Geschichte ihrer heutigen Heimatländer sowie der Länder ihrer Geburt. Welche Erinnerungen haben die Zeugen an ihre Kindheit? Was waren die Umstände ihrer Abreise? Wie wurden sie in ihrem neuen Zuhause aufgenommen? Welche Botschaft wollen sie den Kindern und Jugendlichen von heute vermitteln?
Das Datenset umfasst 12 Interviews mit Zeitzeugen, bestehend aus Videos, deutschen Untertiteln und Kurzbiografien.",,"In 1945, the worst military conflict in human history came to an end. The human suffering it caused, however, outweighed it. Europe smouldered in ashes while national borders were redrawn. What happened in the war also determined the post-war reality - millions of people were forced to leave their place of birth. Whether only a few kilometres away or in a distant country, whether separated from their birthplaces by the Iron Curtain or not, they had to rebuild their existence from scratch. In doing so, they helped create the Europe we live in today.
These stories are part of the history of their current home countries as well as the countries of their birth. What memories do the witnesses have of their childhood? What were the circumstances of their departure? How were they received in their new home? What message do they want to convey to the children and young people of today?
The data set includes 12 interviews with contemporary witnesses, consisting of videos, German subtitles and short biographies.","Geschichte und Geografie, Gesellschaft und Alltagsleben","Text, Biografie, Video","CC BY-SA 4.0, Post Bellum, z. ú.",XLSX,,,CC0 1.0,,Ost³ 2022
Herzogin Anna Amalia Bibliothek,Stadtplan von Paris aus dem Jahr 1739,https://codingdavinci.de/de/daten/stadtplan-von-paris-aus-dem-jahr-1739,"-- English version below --
Die Karte von Paris entstand zwischen 1734 und 1736. Ihre Veröffentlichung erfolgte als Atlas im Jahr 1739 im Maßstab von 1:400 auf insgesamt 20 Einzelblättern. Zusammengesetzt ergeben die Einzelblätter eine Fläche von 2,50 Meter * 3,20 Meter. Bemerkenswert ist die äußerst detaillierte Darstellung von Gebäuden und Straßen, aber auch von Parklandschaften und sogar Teilen des Umlandes. Dem Kartographen Louis Bretez war es sogar gestattet, sämtliche Grundstücke in der Stadt zu betreten, um möglichst exakt Maß zu nehmen. 
Die Aufnahmen der 20 einzelnen Bildkacheln wurden mit 600dpi angefertigt. Jede der Aufnahmen ist ca. 500 MB groß. Alle 20 Bildkacheln wurden zusätzlich zu einer digitalen Gesamtansicht zusammengesetzt. Diese Datei ist 4 GB groß.",,"The map of Paris was created between 1734 and 1736. It was published in 1739 as an atlas, consisting of 20 individual sheets at a scale of 1: 400. Combined, the sheets add up to an area of 2.50 meters * 3.20 meters. The extremely detailed depiction of buildings and streets, park landscapes and even parts of the surrounding area, is remarkable. In order to take the most precise measurements possible, the cartographer Louis Bretez was even allowed to enter all properties in the city.
The digital copies of the 20 individual image tiles were made with 600 dpi. Each image is approx. 500 MB in size. Additionally, the 20 images were put together to form a digital overall view. This file is 4 GB in size.","Geschichte und Geografie, Medien und Information, Politik und Militär, Transport und Verkehr","Bild, Karte, Plan",public domain,XML,METS/MODS,,public domain,,Ost³ 2022
Historische Schauweberei Braunsdorf,Webmuster und Textilmaschinen,https://codingdavinci.de/de/daten/webmuster-und-textilmaschinen,"-- English version below --
Die Historische Schauweberei Braunsdorf befindet sich in einem Industriegebäude auf einer Halbinsel in der Nähe von Chemnitz, direkt an der Zschopau. Sie ging aus der Möbelstoffweberei Tannenhauer hervor. In einer Industrieanlage aus dem 19. Jahrhundert sind das Museum, eine Weberei, Privat- und Ferienwohnungen, sowie eine Floristen- und eine Steinmetzwerkstatt vereint.
Das Musterarchiv der ehemaligen Weberei Tannenhauer ­– heute historische Schauweberei – beinhaltet eine einzigartige Zusammenstellung von Gewebeentwürfen, textilen Gewebemustern und den dazugehörigen Garnen und Technischen Zeichnungen (Musterpatronen) für die Webmaschinen. Es diente in den aktiven Jahren der Weberei zur internen Dokumentation der hergestellten Garne und Gewebe, sowie zur Präsentation der Produkte für Kunden.
Für Coding da Vinci haben wir drei Kollektionen zusammengestellt, deren Inhalte anhand von Textilgeweben einen Einblick in den umfangreichen Musterschatz geben. Zwei dieser Datensets zeigen Stoffe in den Farben Rot bzw. Gelb. Ein drittes Set enthält, unabhängig von Farben, einen Querschnitt aus dem sehr heterogenen Motivschatz aus der über 100-jährigen Tätigkeit der Weberei. In einer vierten Kollektion sind Beispiele der noch funktionstüchtigen Textilmaschinen vereint. Mit Hilfe dieser beeindruckenden Objekte entstand aus einem Entwurf auf Papier ein (dreidimensionales) textiles Gewebe.
Viel Freude beim Stöbern in Farben, Mustern und Maschinen wünscht das Team der Historischen Schauweberei Braunsdorf.",,"The Historische Schauweberei Braunsdorf is located in an industrial building on an peninsula near Chemnitz, directly on the Zschopau. It emerged from the upholstery weaving mill Tannenhauer. The museum, a weaving mill, private and holiday apartments, as well as a florist's workshop and a stonemason's workshop are all housed in an industrial plant from the 19th century.
The pattern archive of the former Tannenhauer weaving mill – today the historic show weaving mill – contains a unique compilation of fabric designs, textile fabric patterns and the associated yarns and technical drawings (pattern cartridges) for the weaving machines. During the active years of the weaving mill, it was used for internal documentation of the yarns and fabrics produced, as well as for presenting the products to customers.
We have put together three collections for Coding da Vinci, the contents of which give a small insight into the extensive pattern treasure trove of patterns based on textile fabrics. Two of these data sets show substances in the colors red and yellow. A third set contains, regardless of colour, a cross section from the very heterogeneous treasure trove of motifs from more than 100 years of weaving activity. A fourth collection brings together examples of textile machines that are still functional. With the help of these impressive objects, a (three-dimensional) textile fabric was created from a draft on paper.
The team at the Historische Schauweberei Braunsdorf hopes you enjoy browsing the colours, patterns and machines.",Kunst und Kultur,"Text, Bericht, Quelle, Bild, Foto eines 3D Sammlungsobjektes","CC BY-SA 3.0 DE, Historische Schauweberei Braunsdorf",XML,LIDO-XML,"AAT, Geonames, GND, OBG, TGN, ULAN, VIAF, Wikidata","CC BY-SA 3.0 DE, Historische Schauweberei Braunsdorf",,Ost³ 2022
Leibniz-Institut für Länderkunde Leipzig,Messtischblätter des Deutschen Reiches zur Provinz Schlesien,https://codingdavinci.de/de/daten/messtischblaetter-des-deutschen-reiches-zur-provinz-schlesien,"-- English version below --
Meßtischblätter im Maßstab 1:25.000 der historischen Region Schlesien mit detaillierten Metadaten. Dazu zählen Geokoordinaten, Naturräume, Flüsse bis 15 Kilometer Länge, die administrative Gliederung und alle auf den Karten verzeichneten Orte",,"1:25,000 scale Ordnance Survey maps of the historical region of Silesia with detailed metadata. This includes geo-coordinates, natural areas, rivers up to 15 kilometres in length, the administrative division and all places shown on the maps.",Geschichte und Geografie,"Bild, Karte",CC0 1.0,XML,MARC21-XML,,CC0 1.0,,Ost³ 2022
Městské muzeum v Kadani,Franziskaner Kloster in Kaaden Innenräume der Klosterkirche,https://codingdavinci.de/de/daten/franziskaner-kloster-kaaden-innenraeume-der-klosterkirche,"Das Franziskanerkloster wurde am Ende des 15. Jahrhunderts an der Stelle der aursprünglichen Pilgerkapelle zu den 14 Nothelfern mit bedeutenden Beiträgen der Familien Vitzthum und Hassenstein von Lobkowitz errichtet. Johann von Lobkowitz auf Hassenstein, zu dieser Zeit der Vogt der Stadt Kadaň, ließ das Kloster als Begräbnisstätte seiner Familie errichten und gleichzeitig als Nachahmung heiliger Stätten in Jerusalem, wohin er 1493 eine Pilgerreise unternahm. Die Gemälde des Presbyteriums der Kirche imitieren getreu das Werk von Lucas Cranach, eines bedeutenden deutschen Renaissance-Malers, und sind in unserer Region absolut einzigartig. In einigen wichtigen Teilen des Klosters befinden sich in ihrer Bauart seltene Kellergewölbe.",,"The establishment and construction of the monastery of the Franciscans of strict observance, built as a family burial-place and later a pardon place of the Fourteen Holy Helpers, may reflect his ambitions for the town. Jan Hasištejnský died in 1517 and is buried in the Church of the Fourteen Holy Helpers. His tomb is still on display in the Church, now part of the municipal museum.","Geschichte und Geografie, Kunst und Kultur","Bild, Bildnis (Porträt)",CC BY 3.0,XLS,,,public domain,,Ost³ 2022
Moravská zemská knihovna v Brně / Moravian Library in Brno,Maps and pictures of Brno,https://codingdavinci.de/de/daten/maps-and-pictures-brno,"-- English version below --
Moravská zemská knihovna v Brně uchovává ve svých historických i moderních fondech řadu pokladů. Knihovna se coby jeden z příjemců národního povinného výtisku řadí mezi nejvýznamnější české knihovny. Digitalizované dokumenty MZK si čtenáři mohou prohlédnout v Digitální knihovně MZK, která zpřístupňuje více než 250000 digitalizovaných  dokumentů (62 milionů stran), z nichž přibližně 20 % může být volně zpřístupňováno. Nejzajímavější díla pak knihovníci řadí do tematických virtuálních sbírek (https://www.digitalniknihovna.cz/mzk/collections), které ukazují průřez tím nejlepším, co je v digitální knihovně k dispozici. 
Mnohé sbírky byly vytvořeny i z historického fondu. Rádi bychom zde představili tři sbírky, které se přímo týkají historie města Brna - města, kde má Moravská zemská knihovna své sídlo a s nímž je nerozlučně spjata. Zveme vás tedy na výlet do minulosti. 
Veduty města, tištěné i fotografické, můžete studovat jednak ve sbírce Domy a ulice města Brna, a pak také ve sbírce Veduty města Brna, které zahrnují pohledy na město od první poloviny 17. století až po konec 20. století; Brno na starých mapách a plánech lze prohlížet v rámci sbírky Mapy města Brna.",,"The Moravian Library in Brno holds many treasures in its historical and modern collections. As one of the recipients of the national legal deposit, the library ranks among the most important Czech libraries. Readers can view digitised documents from the library’s collections in the Digital Library of MZK, which makes available more than 250,000 digitised documents (62 million pages), of which approximately 20% can be freely accessed. The librarians then arrange the most interesting works into thematic virtual collections (https://www.digitalniknihovna.cz/mzk/collections), which show a cross-section of the best of what is available in the digital library. 
Many collections have been based on the historical collection. We would like to present here three collections that together directly relate to the history of Brno, the city where the Moravian Library is based and with which it is inextricably linked. We invite you to take a trip into the past. 
You can study the city's vedutas, both printed and photographic, in the collection Buildings and Streets of Brno, and then also in the collection Vedute of Brno, which includes views of the city from the first half of the 17th century to the end of the 20th century; Brno on old maps and plans can be viewed in the collection Maps of Brno.","Geschichte und Geografie, Kunst und Kultur","Bild, Scan eines Fotos, Druckgrafik, Karte, Plan",public domain,"JSON, XML","MARC21-XML, METS/MODS",,public domain,,Ost³ 2022
"Moravskoslezská vědecká knihovna v Ostravě, příspěvková organizace / Moravian-Silesian Research Library in Ostrava, contributory organization",Kościoły drewniane na Śląskiu Cieszyńskim / Wooden churches in Těšín Silesia,https://codingdavinci.de/de/daten/koscioly-drewniane-na-slaskiu-cieszynskim,"-- English version below --
Kniha byla napsána Józefem Londzinem, polským katolickým knězem, politikem, starostou Těšína (https://pl.wikipedia.org/wiki/J%C3%B3zef_Londzin) a vydána až posmrtně na začátku 30. let 20. století.
Je zajímavým pramenem k regionálním dějinám náboženského života na těšínském Slezsku. Popisuje vznik a historii dřevěných kostelů především v 17.-19. století ve více než 45 obcích na Těšínsku, v jeho polské i české části. Autor využívá různých písemných pramenů k představení jejich vzniku, informuje o stavebních úpravách, vnitřním vybavení kostela, duchovních sloužících při kostele atd. Můžeme tak sledovat, ale i porovnávat rozdíly v provedení stavby, vybavení kostelů na jednotlivých místech. Pro lepší představu o vzhledu kostelů obsahuje kniha také černobílé fotografie, výjimečně i nákresy.   
Lepší orientaci v textu pak umožňuje abecední rejstřík osob a míst uvedených v knize.
V digitální knihovně Kramerius jsou snímky stránek ke stažení v obrazovém formátu JPEG, je možné si snímky stahovat i ve formátu PDF (max. 20 stran v souboru). Každá stránka má textový přepis. 
Pomocí streamů API do digitální knihovny Kramerius je možné získat obrázky (JPEG), textový přepis stran ve formátu TXT, ALTO, informace o kapitolách.",,"The book was written by Józef Londzin, a Polish Catholic priest, politician and mayor of Těšín (https://pl.wikipedia.org/wiki/J%C3%B3zef_Londzin) and published posthumously in the early 1930s.
It is an interesting source for the regional history of religious life in Těšín Silesia. It describes the origins and history of wooden churches mainly in the 17th-19th centuries in more than 45 villages in Těšín, in its Polish and Czech parts. The author uses various documentary sources to present their origin, informs about building modifications, internal church furnishings, clergymen serving at the church, etc. Thus, we can observe and compare the differences in the construction and equipment of the churches in each place. To get a better idea of the appearance of the churches, the book also contains black and white photographs and, exceptionally, drawings.   
An alphabetical index of people and places mentioned in the book provides better orientation in the text.
In the Kramerius digital library, the images of the pages are available for download in JPEG image format, and it is also possible to download the images in PDF format (max. 20 pages per file). Each page has a text transcription. 
Using API streams to the Kramerius digital library, it is possible to get images (JPEG), text transcripts of pages in TXT format, ALTO, chapter information.",Geschichte und Geografie,"Text, Buch",public domain,XML,METS/MODS,,public domain,,Ost³ 2022
Deutsches Buch- und Schriftmuseum der Deutschen Nationalbibliothek,Buch-Netzwerk in Leipzig 1913,https://codingdavinci.de/de/daten/buch-netzwerk-leipzig-1913,"Die Datensammlung stellt ein vollständiges Exzerpt aller für das Buchgewerbe relevanten Firmenadressen aus dem Leipziger Adressbuch von 1913 dar. Die Sammlung umfasst ca. 2.000 Firmen des Leipziger Buchgewerbes, deren Zugehörigkeit zu verschiedenen Branchen und deren Firmenadressen.Die Zusammenstellung sollte in den 90er Jahren für eine interaktive Medienstation genutzt werden. Dieses Ziel konnte aus unterschiedlichen Gründen nur als statischer Kartentisch umgesetzt werden (nicht interaktiv, nicht medial, keine unterschiedlich farbigen Leuchtpunkte für die einzelnen Gewerbe, keine georeferenzierenden Daten, keine Zeitschnitte usw) – dennoch war der Kartentisch in der Ausstellung zur Geschichte der Buchstadt Leipzig einer der Attraktionspunkte, entpuppen sich Karten doch immer noch als großartige Geschichtenerzähler. Das eigentliche Potential der Daten, die in einer MS­ Access­ Datenbank konvertiert vorliegen, wurde damit aber nicht annähernd ausgeschöpft. Denkbar wäre ein Geo­informationssystem mit historischer und moderner Stadtkarte und Suchfunktion für die einzelnen Firmen ergänzt um Perma­Links (zur GND) und historisches Bildmaterial (z.B. Wikimedia, Museumsbestände, heutige Ansichten). Die Daten habend das Zeug, zu einem webbasiertes Geo­Informationssystem weiterentwickelt zu werden. Das Jahr 1913 ist nicht zufällig gewählt, sondern für die Stadt Leipzig in mehrfacher Hinsicht von Bedeutung: Zum einen kann das Jahr vor Ausbruch des Ersten Weltkriegs als absoluter Höhepunkt der Entwicklung der Buchstadt Leipzig angesehen werden, in der im folgenden Jahr die erste Weltausstellung auf deutschem Boden stattfindet. In den vorangegangenen Jahrzehnten hat Leipzig wie kaum eine andere Stadt von der Industrialisierung profitiert und seinen Weltruhm als Stadt des Buches etabliert, in derbl 1912 Franz Kafka Ernst Rowohlt trifft und hier sein Bücherleben beginnt. Zum anderen ist es das Gründungsjahr der Deutschen Nationalbibliothek.",Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Medien und Information, Wirtschaft und Finanzwesen","Text, Verzeichnis",CC0 1.0,XML,,"GND, Wikidata",CC0 1.0,,Berlin 2015
Verwaltungsinformationszentrum des Bezirksamtes Charlottenburg­ - Wilmersdorf von Berlin,Handschriften aus Charlottenburg,https://codingdavinci.de/de/daten/handschriften-aus-charlottenburg,"Handschriften aus der Königlichen Magistratsbibliothek zu Charlottenburg im Verwaltungsinformationszentrum des Bezirksamtes Charlottenburg­-Wilmersdorf
Zu Handschrift 1
Charlottenburg wurde als Lietzenburg mit dem Bau des Schlosses 1695 gegründet. Als die Königin Sophie-Charlotte 1705 starb, verlieh der König Friedrich I. von Preußen dem Dorf das Stadtrecht und benannte es in Charlottenburg um. Das vorliegende Einwohnerverzeichnis wurde 1711 begonnen und bis 1790 weitergeführt. Dort sind alle mit den Bürgerrechten ausgestatteten Einwohner Charlottenburgs mit Vornamen und Berufen aufgelistet. So finden sich Schlosser, Ackersmänner, Tagelöhner, Chirurgen und vieles mehr. Es gibt jeweils zwei Rubriken: Eigentümer und Mieter. Zudem gibt es zu manchen Jahren kleine Einleitungen. Später wird auch das Alter und der Herkunftsort der Einwohner vermerkt. Die Handschrift bildet somit die soziale Zusammensetzung der jungen Stadt ab.
Zu Handschriften 2-5: Dressel, Johann Christian Gottfried 
Johann Christian Gottfried Dressel wurde am 22.9.1751 in Crossen an der Oder geboren und starb am 16.10.1824 in Charlottenburg. 1771 begann er ein Theologiestudium in Wittenberg, das er ein Jahr später in Halle fortsetzte und 1773 abschloss. Nach seinem Studium war Dressel ein Jahr lang Konrektor in Werder, ehe er eine Stelle als Rektor in Biesental bekam. 1778 übernahm er das Pfarramt in der Stadt Charlottenburg. Zu diesem Zeitpunkt war Charlottenburg ein ländliches Städtchen, in dem die Bewohner hauptsächlich Ackerbau und Viehzucht trieben. Die Kirchengemeinde war in einem genauso kläglichen Zustand wie die Schulen, die damals der Kirch
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Foto eines 3D Sammlungsobjektes",public domain,CSV,,,public domain,,Berlin 2015
Museum für Naturkunde Berlin,Zoosphere: Hochauflösende sphärische Bildsequenzen,https://codingdavinci.de/de/daten/zoosphere-hochaufloesende-sphaerische-bildsequenzen,"Die sphärischen Bildsequenzen sind für die taxonomische Forschung und Wissensvermittlung sehr relevant. Da Zoo-Sphere ein aktuelles Forschungsprojekt ist, variieren die bereits verfügbaren Objekte und zugrundeliegenden Daten und Bilder in ihrer Qualität. Weitere Informationen unter http://www.zoosphere.net
Für die Nutzung der API sind folgende Methoden hilfreich:

Für eine Liste an Sequenzmetadaten
http://www.zoosphere.net/api/v1/sequences?offset=&count=


Für ein einzelnes Objekt
http://www.zoosphere.net/api/v1/sequence/",,,"Natur und Naturkunde, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes (sphärisch)",CC0 1.0,,,,CC0 1.0,,Berlin 2017
Museum für Naturkunde Berlin,Zoosphere: Hochauflösende sphärische Bildsequenzen,https://codingdavinci.de/de/daten/zoosphere-hochaufloesende-sphaerische-bildsequenzen,"Die sphärischen Bildsequenzen sind für die taxonomische Forschung und Wissensvermittlung sehr relevant. Da Zoo-Sphere ein aktuelles Forschungsprojekt ist, variieren die bereits verfügbaren Objekte und zugrundeliegenden Daten und Bilder in ihrer Qualität. Weitere Informationen unter http://www.zoosphere.net
Für die Nutzung der API sind folgende Methoden hilfreich:

Für eine Liste an Sequenzmetadaten
http://www.zoosphere.net/api/v1/sequences?offset=&count=


Für ein einzelnes Objekt
http://www.zoosphere.net/api/v1/sequence/",,,"Natur und Naturkunde, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes (sphärisch)",CC0 1.0,,,,CC0 1.0,,Berlin 2015
Deutsches Museum,Porträts aus fünf Jahrhunderten,https://codingdavinci.de/de/daten/portraets-aus-fuenf-jahrhunderten,"Der Porträtbestand des Archivs am Deutschen Museum umfasst rund 12.000 Fotografien, Druckgrafiken und Zeichnungen. Der Schwerpunkt liegt im 19. und 20. Jahrhundert, jedoch sind auch zahlreiche Druckgrafiken enthalten, die bis ins 16. Jahrhundert zurückreichen. Den von der forschenden Öffentlichkeit häufig nachgefragten Porträts von Wissenschaftlern, Technikern, Ingenieuren, Industriellen, Architekten, Künstlern, Adeligen, Pädagogen, Seeleuten und Bergmännern wurden bei der Erschließung vielseitig kombinierbare Daten beigefügt. Schließlich wurden Images und Metadaten miteinander verknüpft und recherchierbar online gestellt (  www.digiporta.net  ).
Der bereitgestellte Teilbestand umfasst alle rechtefreien Datensätze und Medien. Bei der Erschließung wurden für die Personendaten die zugehörigen GND-Nummern (Gemeinsame Normdatei der Deutschen Nationalbibliothek) recherchiert und eingetragen. Neben Bildbeschreibung und Bemerkung (Volltext) wurden auch weitere Personen (FotografIn, DruckerIn, weitere Dargestellte etc.) namentlich erfasst und mit GND-Nummer versehen. Für Ortsangaben wurden Geokoordinaten (GML) eingetragen. Herstellungsdatum und -ort wurden ebenso verzeichnet wie die Herstellungstechnik, das Trägermaterial und die Bildformate der Originale. Hingewiesen wird auch auf die Provenienz der Porträts und die Vernetzung des Einzelbildes mit einem übergeordneten Bestand (zum Beispiel die Sammlung des Botanikers und Professors der Pharmakognose Gregor Konrad Michael Kraus).",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Politik und Militär, Technik und Wissenschaft, Wirtschaft und Finanzwesen","Bild, Scan eines Fotos, Gemälde, Druckgrafik, Zeichnung","CC BY-SA 4.0, Deutsches Museum",XML,LIDO-XML,GND,"CC0 1.0, Deutsches Museum",,Süd 2019
Berlinische Galerie,Ostberliner Fotoarchiv (1962-1975),https://codingdavinci.de/de/daten/ostberliner-fotoarchiv-1962-1975,"Das Fotoarchiv der ehemaligen Ostberliner Magistratsverwaltung für Stadtentwicklung, Wohnen und Verkehr besteht aus Schwarzweiß-Kontaktfotografien von Originalnegativen. Nach Bezirken, Bauaufgaben und Themen gegliedert, wurde hier die Baugeschichte Ostberlins festgehalten. Der Bestand gilt heute als umfassendstes Dokument der dortigen Architektur- und Stadtentwicklung.
Für Coding da Vinci hat die  Berlinische Galerie  einen Teil von 200 Archivumschlägen und Karteikarten aus dem umfangreichen Gesamtbestand des  Ostberliner Fotoarchivs  ausgewählt. Es handelt sich hierbei um Aufnahmen von Bauprojekten am Alexanderplatz, entlang der Karl-Marx-Allee, Unter den Linden und auf der Fischerinsel aus der Zeit von Oktober 1962 bis Juni 1975.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Transport und Verkehr, Wirtschaft und Finanzwesen","Bild, Scan eines Fotos","CC BY, Gisela Dutschmann, Berlinische Galerie",XLS,,,"CC BY, Gisela Dutschmann, Berlinische Galerie",,Berlin 2014
Stiftung Stadtmuseum Berlin,Berliner Stadtansichten,https://codingdavinci.de/de/daten/berliner-stadtansichten-0,"Die Sammlungen des  Stadtmuseums Berlin in den Bereichen Grafik und Gemälde zeigen 100.000 Ansichten des historischen Berlins, mit seinen bekannten und unbekannten Plätze, Straßen, Gebäuden und Wahrzeichen. Einige dieser Orte sind heute in der Stadt noch zu finden und haben sich teilweise zu Touristenmagneten entwickelt. Andere Gebäude des historischen Berlins hingegen sind abgerissen, überbaut oder durch den Weltkrieg zerstört worden. Wie nur wenige andere Städte lädt das Zentrum Berlins zu einem Spaziergang in der Vergangenheit der Stadt ein – durch verschiedene Stadtge-Schichte(n).
Die Daten: Im Mittelpunkt des Projekts stehen Stadtansichten aus dem Bestand des Stadtmuseum Berlin. Die Grafiken und Gemälde zeigen Berlin, wie es im 18. und 19. Jahrhundert ausgesehen hat. Diese Abbildungen liegen als JPEGs mit 1200px lange Kante und 72dpi vor. Zusätzlich dazu liegen zu dem Objekt Metadaten im MuseumDat-XML Format vor. Diese Metadaten geben grundlegende Informationen zu den Museumsobjekt (Maße, Technik, Datierung, Künstler etc.) sowie zu abgebildeten Stadtsituation (welche Gebäude sind zu sehen etc.).",,,"Gesellschaft und Alltagsleben, Kunst und Kultur, Transport und Verkehr","Bild, Scan eines Fotos, Druckgrafik, Zeichnung","public domain, Stadtmuseum Berlin",XML,,,"public domain, Stadtmuseum Berlin",,Berlin 2014
Stiftung Stadtmuseum Berlin,Heinrich Zille: Zeichner und Berliner Schnauze,https://codingdavinci.de/de/daten/heinrich-zille-zeichner-und-berliner-schnauze,"Grundlage: In der Grafischen Sammlung des  Stadtmuseums Berlin  befindet sich einer der größten Bestände des Zeichners  Heinrich Zille  . Mit Ironie und Witz portraitierte er die Berliner Bevölkerung und warf somit einen augenzwinkernden, aber kritischen Blick auf die sozialen Verhältnisse in der Stadt. Häufig sind die Szenen in Zilles Zeichnungen begleitet von ungehobelten Dialogen der dargestellten Personen in typischer Berliner Schnauze.
Die Daten: Im Mittelpunkt des Projektes stehen Stadtansichten aus dem Bestand des Stadtmuseum Berlin. Die Grafiken und Gemälde zeigen Berlin, wie es im 18. und 19.Jahrhundert ausgesehen hat. Diese Abbildungen liegen als JPEGs mit 1200px lange Kante und 72dpi vor. Zusätzlich dazu liegen zu dem Objekt Metadaten im MuseumDat-XML Format vor. Diese Metadaten geben grundlegende Informationen zu den Museumsobjekt (Maße, Technik, Datierung, Künstler etc.) an.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Scan eines Fotos, Druckgrafik, Zeichnung, Karikatur","public domain, Stadtmuseum Berlin",XML,,,"public domain, Stadtmuseum Berlin",,Berlin 2014
Zentral- und Landesbibliothek Berlin,Einträge des Jüdischen Adressbuchs von Groß-Berlin 1931,https://codingdavinci.de/de/daten/eintraege-des-juedischen-adressbuchs-von-gross-berlin-1931,"Das Jüdische Adressbuch für Groß-Berlin der Goedega Verlags-Gesellschaft von 1931 gehört zu den wichtigen Quellen über jüdisches Alltagsleben zu Beginn der 1930er Jahre. Die 72.231 Einträge des Buches wurden von Rod Miller im Rahmen von stolperstadt.org (jetzt: ""Mapping the lives"" von Tracing the Past e.V.) sorgfältig aufbereitet und durch die Zentral- und Landesbibliothek Berlin öffentlich zugänglich gemacht. Die Einträge enthalten Namen und Adressen auch Angaben zur Untermiete sowie zu Berufen und Titeln der verzeichneten Personen. Mit den hausnummergenauen Adressdaten bietet die Datensammlung eine einzigartige Möglichkeit, sich über die Wohnorte den im Adressbuch verzeichneten Personen zu Beginn der 1930er Jahre zu nähern.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2017: PDF",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Religion und Weltanschauung","Text, Verzeichnis, Bild, Scan eines Fotos",public domain,CSV,,,CC BY-SA 3.0,,Berlin 2015
Zentral- und Landesbibliothek Berlin,Einträge des Jüdischen Adressbuchs von Groß-Berlin 1931,https://codingdavinci.de/de/daten/eintraege-des-juedischen-adressbuchs-von-gross-berlin-1931,"Das Jüdische Adressbuch für Groß-Berlin der Goedega Verlags-Gesellschaft von 1931 gehört zu den wichtigen Quellen über jüdisches Alltagsleben zu Beginn der 1930er Jahre. Die 72.231 Einträge des Buches wurden von Rod Miller im Rahmen von stolperstadt.org (jetzt: ""Mapping the lives"" von Tracing the Past e.V.) sorgfältig aufbereitet und durch die Zentral- und Landesbibliothek Berlin öffentlich zugänglich gemacht. Die Einträge enthalten Namen und Adressen auch Angaben zur Untermiete sowie zu Berufen und Titeln der verzeichneten Personen. Mit den hausnummergenauen Adressdaten bietet die Datensammlung eine einzigartige Möglichkeit, sich über die Wohnorte den im Adressbuch verzeichneten Personen zu Beginn der 1930er Jahre zu nähern.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2017: PDF",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Religion und Weltanschauung","Text, Verzeichnis, Bild, Scan eines Fotos",public domain,CSV,,,CC BY-SA 3.0,,Berlin 2017
