Name,URL (CdV),Kurzbeschreibung,Beschreibung,Links,Lizenz des Quellcodes,Datensätze,Projekttyp,Bild,Event
GarGOyle,https://codingdavinci.de/de/projekte/gargoyle,"Helft dem kleinen Dämonen Samy ins Münster zu kommen und lernt dabei mehr über das Freiburger Münster, seine Wasserspeier und die Stadt Freiburg!","Wusstet Ihr, dass das Freiburger Münster schon über 900 Jahre alt ist? Oder dass der Glockenstuhl des Münsters theoretisch mehr als 40 Elefanten tragen könnte? Und dass man, um zum Glockenstuhl zu kommen, 153 Stufen erklimmen muss? Nein? Dann ist es höchste Zeit, sich das mobil game „GarGOyle“ runterzuladen und sich mit dem kleinen Dämon Samy auf ein spannendes Abenteuer zu begeben!

Samy lebt eigentlich in der Hölle, doch das Freiburger Münster wirkt eine magische Anziehung auf ihn aus. Da er jedoch ein Dämon ist, lassen die 91 Wasserspeier ihn nicht vorbei – zumindest bis er eines Tages auf den Wasserspeier mit Kapuzenmantel und Krug trifft, der Samy seine Hilfe anbietet. Wenn er die fünf Wasserspeier besiegt, die jeweils eine der sieben Todsünden verkörpert, dann hilft er dem Dämon. Im Stil von Space Invaders muss Samy nun in fünf Leveln diese Wasserspeier bekämpfen und als sei das nicht anstrengend genug, muss er dabei auch noch herunterfallenden Trümmerteilen ausweichen.
Zum Glück sind zwischen den Trümmerteilen aber auch weitere Leben und kleine Münzen zu finden. Sammelt Samy eine bestimmte Anzahl von Münzen oder schaltet ein Achievement frei, dann bekommt man einen spannenden Fakt über das Freiburger Münster oder die Stadt Freiburg. 

Das Spiel wurde mit der Engine Unity programmiert und soll zunächst für Android Systeme zugänglich gemacht werden. Die verwendete Musik wurde von Samuel Scheer eigens für das Spiel komponiert. Da sich das Spiel hauptsächlich an Kinder orientiert, soll es mit einem Spiel- und Kinderreiseführer für das Freiburger Münster von unserer Illustratorin Regina Rullman auch jenseits des Bildschirms zugänglich gemacht werden.
Um das Spiel möglichst inklusive zu halten, wurde auf die Verwendung möglichst einfacher Sprache und Lesehilfen geachtet. Dadurch soll es nicht nur Frühlesern zugänglich gemacht werden, sondern auch Personen mit DaF/DaZ Hintergrund und Menschen mit Leseschwächen.",GitHub Repository (https://github.com/KozlowskiXY/garGOyle-public),MIT license,Die 91 Wasserspeier am Freiburger Münster,"game, mobile app, storytelling","Samy mit Nachthimmel.png, CC BY-SA 3.0, Regina Rullmann",Baden-Württemberg 2022
#halligallipairs,https://codingdavinci.de/de/projekte/halligallipairs,Aus 395 Objekten des Naturkundemuseums Stuttgart sind 68 fotografisch festgehalten: aus diesen entsteht das fantastische Paare-Spiel #halligallipairs,"»Halli Galli in der Galle« Was sind Pflanzengallen? Pflanzengallen kennen eigentlich alle, nur wissen es die wenigsten. Bestimmt hat jeder von uns schon einmal die komischen runden oder spitzen Knubbel an Eichen-, Ahorn-, Buchen- oder Ulmenblättern gesehen? Wenn nicht - dann vielleicht mal darauf achten. Pflanzengallen sind »Produkte abnormen Wachstums an Pflanzen«, die durch die »Einwirkung tierischer oder pflanzlicher Parasiten entstehen und den Nährboden für diese abgeben« (Wikipedia). Gallen dienen als Lebensraum und das nicht nur für den Gallerzeuger. Sie werden oft von weiteren Organismen genutzt. Der Übergang von bloßen Mitnutzern bis hin zu Parasiten, die sich in der Galle vom Gallerzeuger ernähren, ist fließend. Das Leben in einer Galle hat immense Vorteile für den gallenbildenden Parasiten oder seine Nachkommen. In der Galle herrscht ein angenehmes, stabiles Mikroklima, und der Wirt bietet dem gallenbildenden Organismus oder seinen Nachkommen auf eigene Kosten Schutz und Nahrung (Czech 1858). Gallen sind »Orte«, an denen ganz schön was los ist: Verlassene Gallen dienen häufig als Zufluchtsort von Untermietern, die in die Galle einziehen, nachdem der Bauherr die Galle bereits verlassen hat – oder er aus der Galle herausgeschmissen oder sogar aufgefressen wird. In manchen Fällen verändern die Untermieter durch ihre Anwesenheit die Form der besetzten Galle, so dass man sie von unbesetzten Gallen und Gallen, die noch von ihren ursprünglichen Erzeugern bewohnt werden, schon von außen unterscheiden kann. Neben Mitnutzern gibt es noch einige Sekundär- und Tertiärparasiten, also Hausbesetzer, die ebenfalls in den Gallen zu finden sein können. Die Anwesenheit dieser Parasiten geht häufig mit dem Tod des Gallerzeugers einher: »Halli Galli« in der Botanik | Datenpaket des Naturkundemuseums Stuttgart enthält 395 Objekte, davon sind 68 fotografisch festgehalten: hieraus entsteht das fantastische #halligallipairs, ein Paare-Spiel, welches einlädt Gallen zu erkunden!",#halligallipairs  (http://collectivepairs.de/),,"""Sozialer Brennpunkt Pflanzengalle: Von Mieter*innen, Untermieter*innen, Nachmieter*innen und Besetzer*innen in Wucherungen an Bäumen und Büschen.""","application, desktop app, game, website","544bb877-3192-4327-874c-7294caf502b5.JPG, CC BY 4.0, Collective Pairs",Baden-Württemberg 2022
Yabusame - Ritterspiele,https://codingdavinci.de/de/projekte/yabusame-ritterspiele,Erlebe eine alte Tradition des japanischen Volkes und teste dein Geschick.,"In unserem Projekt geht es um ein traditionelles Spiel der Japaner, welches in der Kamakura Zeit, also etwa 1100-1300 n. Chr. seinen Ursprung hat. Es geht dabei darum, mit einen stumpfen Pfeil, reitender Weise auf Ziele zu schießen.
Wir haben versucht in unserem Spiel die Schwierigkeit des Schießens zu Pferd, und Fingerfertigkeit, welche dafür benötigt wird, so gut es geht virtuell nachzustellen. Dafür haben wir in Unity verschiedene Level mit steigendem Schwierigkeitsgrad gebaut, und ein Bewertungssystem hinzugefügt.
Zu früheren Zeiten wurde des Weiteren auf lebende Hunde geschossen. Wir gaben diesem Aspekt einen kleinen Twist und haben die Möglichkeit implementiert, aus Versehen Zuschauer zu treffen. Was allerdings Minuspunkte mit sich zieht.
Als Gruppe haben wir uns für die Japanischen Querrollen entschieden, da wir großes Potential in der Seitwärtsbewegung sahen, welche zwangsweise entsteht, wenn man das Bild aufrollt. Diese Seitwärtsbewegung lässt sich sehr gut als sogenannter ""Sidescroller"" umsetzen.",Link zum GitHub Repo. Link zum Spiel ist in der Readme (https://github.com/LeonardBaranski/SeriousGame),Common Development and Distribution License,Emakimono - Japanische Querrollen,"application, game, visualization, web app","Yabusame.png, public domain",Baden-Württemberg 2022
Troia erleben,https://codingdavinci.de/de/projekte/troia-erleben,"Unser Projekt hat zum Ziel, Troia erlebbar zu machen. Es richtet sich an Museumsbesucher und Troia-Interessierte.","In unserem Projekt geht es darum, die verschiedenen Phasen und die gefundenen Artefakte von Troia zu entdecken. Man kann verschiedene Bereiche der Stadt, die durch eine Katastrophe zerstört wurden, wieder aufbauen. Hierfür müssen jeweils kleine Mini-Games gespielt werden, beispielsweise ein kleines Quiz. Dann wird der zu Beginn ausgewählte Teil wieder aufgebaut und die darin gefundenen Artefakte erscheinen als 3D-Modell gemeinsam mit zusätzlichen Informationen dazu. Wenn man die gesamte Stadt aufgebaut hat, kann man sich das 3D-Modell der vervollständigten Stadt noch in Ruhe anschauen.
Durch das Spiel leitet der Archäologe Heinrich Schliemann, der Troia entdeckt hat. 
Parallel dazu gibt es einen rein informativen Modus, in dem man sich die Informationen zu den Artefakten und die 3D-Modelle direkt anschauen kann, wenn man nur an den Informationen interessiert ist.
Motiviert hat uns, dass das Projekt einen museumspädagogischen Ansatz verfolgt und ab Oktober diesen Jahres, in der Troia-Ausstellung des Museums der Universität Tübingen seinen Platz finden wird. Das Spiel soll für die Museumsbesucher durch eine interaktive Fläche zugänglich gemacht werden, um auch Kinder für den Museumsbesuch und Troia zu begeistern.  Ganz nach dem Motto ""Troia für jeden spielerisch erlebbar machen"".",Github-Link (https://github.com/DidiSkywalker/Troja),Apache License 2.0,"Troja – (Ge)schichten in Ton, Steinen & Scherben","application, desktop app, game, mobile app, storytelling, visualization, web app, website","WhatsApp Image 2022-05-08 at 15.08.17.jpeg, CC BY 4.0, Stephan Blum",Baden-Württemberg 2022
ansights,https://codingdavinci.de/de/projekte/ansights,ansights verknüpft Dokumente anhand ihres Inhaltes mit thematisch passenden Artikeln des Deutschen Reichsanzeigers und Preußischen Staatsanzeigers.,"Mit ansights ermöglichen wir, Dokumente inhaltlich automatisiert auszuwerten und diese mit überschneidenden Inhalten des Deutschen Reichsanzeigers und Preußischen Staatsanzeigers (DR/PS) zu verknüpfen. Hierzu kann ein Dokument, beispielsweise ein Flugblatt aus dem Datenset Flug- und Extrablätter aus der Revolutionszeit 1918 bis 1920 hochgeladen werden. ansights generiert automatisch Schlagworte aus dem Dokument und verknüpft sie mit Artikeln des DR/PS. Die Ergebnisse werden visuell anhand ihres inhaltlichen Überschneidungsgrades aufbereitet.
Während des gesamten Vorgangs ist Kenntnis über den Inhalt des hochgeladenen Dokumentes nicht erforderlich.
Darüber hinaus  wurde ein Knowledge Graph erstellt, welcher die Flugblätter aus dem Haus der Geschichte Baden-Württemberg mit seinen Metadaten, den automatisch extrahierten Schlagworten und Wikidata + GND Enttäten semantisch miteinander verknüpft.","Webseite: ansights (https://flyer-explorer.fiz-karlsruhe.de/), GitHub (https://github.com/joelosw/VisualAnzeights)",,"Deutscher Reichsanzeiger und Preußischer Staatsanzeiger , Flug- und Extrablätter aus der Revolutionszeit 1918 bis 1920, Verknüpfung zur Gemeinsamen Normdatei","application, data enrichment, network analysis, script, tool, visualization, web app, website","logo_ansights_jpg.jpg, CC BY-SA 4.0",Baden-Württemberg 2022
Flugblättlefieber,https://codingdavinci.de/de/projekte/flugblaettlefieber,Besucher:innen des Haus der Geschichte BW verteilen in einem Spiel historische Flugblätter auf dem Stuttgarter Marienplatz in den 1920ern.,"Die Sonnenstrahlen kitzeln deine Nase und du öffnest langsam deine Augen, ""Was ist passiert?"" , bis gerade eben warst du doch mit deinen Freunden auf der Königsstraße unterwegs. Doch von einem Augenblick auf den anderen wurde dir ganz schwarz vor Augen. Du bist immer noch in Stuttgart, es sieht nur alles ein wenig anders aus; auch deine Kleidung ist jetzt eine ganz andere. Du gehst ein paar Schritte und schaust dich um, mit deinem großen geschichtlichen Vorwissen, ordnest du die Szenerie um dich herum ein. ""Irgendwann nach dem Krieg, wohl etwas zwischen 1918- 1920 , aber wie bin ich nur hier her gekommen?"" , während du in Gedanken versunken durch die Straßen läufst, bemerkst du nicht das ein junger Mann dir entgegen kommt. Ihr kracht zusammen und die Flugblätter unter seinem Arm, fliegen in die Luft.... 
Im Spiel ist das aufmerksames Auge der Museumsbesucher:innen gefragt - Ziel ist es, in einem 2D Spiel Flugblätter rund um den Stuttgarter Marienplatz an die richtigen Leute zu verteilen und den Protagonisten im Spiel damit zu etwas Taschengeld zu verhelfen. Das Spiel umfasst insgesamt 25 Flugblätter wobei in jeder Runde eines zufällig an die Spieler:innen vergeben wird. Für eine erfolgreiche Zuordnung der Flugblätter an die NPCs sind die Spieler:innen angehalten das jeweilige Flugblatt zu lesen und die Kerninformation herauszufinden:
Worum geht es?
An wen ist es gerichtet?
Wer hat es publiziert? 
Jede erfolgreiche Vergabe eines Flugblattes gibt den Spieler:innen Punkte, jede Misslungene zieht Zeit ab. Die Punkte werden schlussendlich verrechnet und abhängig davon bekommen Spieler:innen ""Taschengeld"".
Die historischen Daten der Flugblätter wurden bereitgestellt durch das Haus der Geschichte Baden-Württemberg und die gesamte Karte im Spiel samt der Straßennamen basiert auf einer historischen Karte Stuttgarts zu der Zeit.
Wir sind Studierende der Universität Tübingen aus den Fachrichtungen der Informatik, den Medienwissenschaften und den Digital Humanities.","Download Link zum Spiel (https://flugblaettlefieber.itch.io/flugblttlefieber), Quellcode (https://github.com/bigatake108/Flugblaettlefieber)",,Flug- und Extrablätter aus der Revolutionszeit 1918 bis 1920,"game, maps, visualization","BannerV2.png, CC BY 3.0 DE, Flugblättle-Team",Baden-Württemberg 2022
Italiensehnsucht: Mysterium des Fohr,https://codingdavinci.de/de/projekte/italiensehnsucht-mysterium-des-fohr,"Ein Top-Down RPG-Game, das die Künstler der Romantik in ein ungeheuerliches Abenteuer verwickelt!","Wir sind Studierende der Universität Tübingen aus den Fachrichtungen der Informatik, den Medienwissenschaften und den Digital Humanities.
Unser Projekt ist ein Top-Down RPG-Game.
Es geht um eine Künstlergruppe, die sich viel im Caffè Greco in Rom getroffen hat. Ganz besonders geht es um Carl Philipp Fohr, der im Tiber ertrunken ist, bevor er ein Gruppenporträt von seinen Künstlerfreunden fertigmalen konnte! 
Sein Geist wandert und spukt noch immer im Caffè Greco herum...
Wirst du es schaffen ihm zu helfen? ",Link zum Spiel  (https://github.com/at-polo/Mysterium-des-Fohr),MIT license,Italiensehnsucht - Nordeuropäische Künstler des Klassizismus und der Romantik bereisen Italien,"desktop app, game, storytelling, visualization","TitelBildMyteriumDesFohrs.png, CC BY 3.0 DE, Erik Böpple, Marie-Hélène Baten",Baden-Württemberg 2022
Stuttg'Art,https://codingdavinci.de/de/projekte/stuttgart,"""Stuttg'Art"" macht Kunst im öffentlichen Raum erfahrbar. In Form einer Geocaching App schicken wir euch auf die Suche nach Kunstwerken in Stuttgart.","Das Projekt Stuttg‘Art entstand aus der Idee heraus, dass Kunst im öffentlichen Raum mehr Aufmerksamkeit gewidmet werden sollte. In Kooperation mit dem Kunstmuseum Stuttgart und basierend auf deren Datensatz, welcher allerlei Bilder diverser Kunstwerke im Zentrum Stuttgarts umfasst, haben wir deshalb eine Geocaching App entwickelt. Dabei wird man mithilfe eines Kompasses zu Kunstobjekten geführt wird. An einem dieser Objekte angekommen, werden einem daraufhin einige Informationen zu dem Kunstwerk und dessen Schöpfer präsentiert. Doch damit nicht genug! Es war uns ein besonderes Anliegen, darüber hinaus auch den Austausch über Kunst durch unsere App zu stärken. Deshalb ist es möglich, an jeder der Stationen seine Gedanken zu dem Werk in kurzen Audiodateien festzuhalten und bereits aufgenommene Audios anderer Benutzer anzuhören. Dafür haben wir eigens eine Datenbank auf einem Server erstellt. Dadurch erfährt man nicht nur spannende Informationen über die Kunstobjekte, sondern kann auch aktiv mit ihnen interagieren.
Die von uns ausgewählten Kunstobjekte wurden hierbei in zwei Touren gegliedert, zwischen welchen man zu Beginn wählen kann. Auf diese Weise konnte den Objekten zusätzlich ein Rahmen in Form einer zusammenhängenden Geschichte verliehen werden. So unternimmt der Benutzer in der Tour „Weg zum Olymp“ eine mythische Reise, in deren Verlauf er sowohl wohlgesinnten Göttern als auch ungeheuren Monstern entgegentreten muss. In der Tour „Catch the Kunst“ macht er sich dagegen nützlich, indem er dem Kunstmuseum dabei hilft, ausgebrochene Kunstwerke in der Stadt ausfindig zu machen und an ihren rechtmäßigen Platz zurückzubefördern.
Durch unsere Implementation kann die App leicht auf viele Touren erweitert und in verschiedenen Städten und Museen verwendet werden. So zeichnet sich Stuttg’Art auch durch ihre Wiederverwendbarkeit aus!

Wir sind Studierende der Universität Tübingen aus den Fachrichtungen der Informatik, den Medienwissenschaften und den Digital Humanities.",Link für den Open Source Code unserer App auf GitHub (https://github.com/AnJulBu/StuttgArt.git),MIT license,Kunst im öffentlichen Raum (Stuttgart),"application, game, mobile app, storytelling","LogoPublic_0.png, CC BY 3.0, Selina Kässmann",Baden-Württemberg 2022
HAMMERLORD,https://codingdavinci.de/de/projekte/hammerlord,"Rette die magische Welt der Zwerge! Mithilfe von Logik, Cleverness und HÄMMER!",Ein selbstgezeichnetes Point und Click Adventure. Das eine schöne Geschichte rund um die ausgewählten Datensätze erzählt und spielerisch erleben lässt.,,,"Auf Spurensuche. Kleindenkmale im Landkreis Esslingen., Hammer-Sammlung Ludwig Thome","application, game, script, storytelling, visualization","header.png, CC BY-SA 4.0, Hammerlord ein Original Spiel von: Maxime Caruso, Jeanna Nechypurenko, Lars Degen, Jannik Schätzle, Leonie Kahn",Baden-Württemberg 2022
FLECTURE,https://codingdavinci.de/de/projekte/flecture,AI generierte Fashion am eigenen Spiegelbild erleben. Experience AI generated fashion in your own reflection.,"FLECTURE - reflections of ARTxFASHION
Unser Magic Mirror ermöglicht es Fashion auf Basis von ausgewählten Kunstwerken der Staatsgalerie Stuttgart an der eignen Spiegelung zu erleben.Die Auswahl eines Kunstwerkes erfolgt über die Touchoberfläche des Spiegels.
Auf dem Spiegel wird ein Model eines Kleidungstückes mit einer A.I. generierten Textur aus dem entsprechenden Kunstwerk dargestellt.
Ein Mapping mittels der integrierten Kamera passt das Model auf den Körper des Betrachters an.Die Kunstwerke stellen eine Auswahl von 236 Werken dar welche den Fokus auf Muster und Farben legt.
Unser Projekt holt diese Meisterwerke der Staatsgalerie Stuttgart durch den Kontext der Fashion und Technologien in die moderne Zeit.
Das gesamt Team lernt an der 42 Heilbronn.
 
FLECTURE - reflections of ARTxFASHION
Our Magic Mirror makes it possible to experience fashion based on selected works of art from the Staatsgalerie Stuttgart in your own reflection. A work of art is selected via the touch interface of the mirror.
The Mirror displays a model of a garment with an AI generated texture from the corresponding artwork. A mapping using the integrated camera adapts the model to the body of the viewer. The works of art represent a selection of 236 works which focus on patterns and colors. Our project brings these masterpieces from the Staatsgalerie Stuttgart into the modern age through the context of fashion and technology.
The entire team studies at 42 Heilbronn.",GitHub (https://github.com/byte-pusher/cdvbw22_ARTXFASHION/tree/main),GNU General Public License (GPL),Farben & Muster - ART x FASHION SHOW,"application, AR, physical computing","Image from iOS.png, CC BY-SA 4.0, Anna-Saray Rohmann",Baden-Württemberg 2022
