Institution,Dataset,Dataset-URL,Filename,License,Attribution,Image-URI,MIME type,Kick-Off
Gemeinsame Normdatei,Verknüpfung zur Gemeinsamen Normdatei,https://codingdavinci.de/de/daten/verknuepfung-zur-gemeinsamen-normdatei,GND_RGB_Wabe_0.jpg,CC BY-SA 4.0,Gemeinsame Normdatei,/sites/default/files/2022-03/GND_RGB_Wabe_0.jpg,image/jpeg,Berlin 2015
Gemeinsame Normdatei,Verknüpfung zur Gemeinsamen Normdatei,https://codingdavinci.de/de/daten/verknuepfung-zur-gemeinsamen-normdatei,GND_RGB_Wabe_0.jpg,CC BY-SA 4.0,Gemeinsame Normdatei,/sites/default/files/2022-03/GND_RGB_Wabe_0.jpg,image/jpeg,Rhein-Main 2018
Gemeinsame Normdatei,Verknüpfung zur Gemeinsamen Normdatei,https://codingdavinci.de/de/daten/verknuepfung-zur-gemeinsamen-normdatei,GND_RGB_Wabe_0.jpg,CC BY-SA 4.0,Gemeinsame Normdatei,/sites/default/files/2022-03/GND_RGB_Wabe_0.jpg,image/jpeg,Berlin 2014
Gemeinsame Normdatei,Verknüpfung zur Gemeinsamen Normdatei,https://codingdavinci.de/de/daten/verknuepfung-zur-gemeinsamen-normdatei,GND_RGB_Wabe_0.jpg,CC BY-SA 4.0,Gemeinsame Normdatei,/sites/default/files/2022-03/GND_RGB_Wabe_0.jpg,image/jpeg,Baden-Württemberg 2022
Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung,Die Schulbücher des Georg-Eckert-Instituts,https://codingdavinci.de/de/daten/die-schulbuecher-des-georg-eckert-instituts,georg_eckert_institut.jpg,public domain,,/sites/default/files/2019-04/georg_eckert_institut.jpg,image/jpeg,Berlin 2015
Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung,Die Schulbücher des Georg-Eckert-Instituts,https://codingdavinci.de/de/daten/die-schulbuecher-des-georg-eckert-instituts,georg_eckert_institut.jpg,public domain,,/sites/default/files/2019-04/georg_eckert_institut.jpg,image/jpeg,Berlin 2014
Herzog August Bibliothek Wolfenbüttel,Herzog August Bibliothek Wolfenbüttel,https://codingdavinci.de/de/daten/herzog-august-bibliothek-wolfenbuettel,,,,,,Berlin 2014
"Hochschule für Technik und Wirtschaft Berlin, Historisches Archiv",Stoffmusterbücher aus dem Historischen Archiv der HTW,https://codingdavinci.de/de/daten/stoffmusterbuecher-aus-dem-historischen-archiv-der-htw,htw-stoffmuster.jpg,CC BY-SA 4.0,"Hochschule für Technik und Wirtschaft Berlin, Historisches Archiv",/sites/default/files/2019-04/htw-stoffmuster.jpg,image/jpeg,Berlin 2015
Internationales Theaterinstitut (ITI) Deutschland / Mime Centrum Berlin,Die Tanzfabrik Berlin von 1978 bis 1990,https://codingdavinci.de/de/daten/die-tanzfabrik-berlin-von-1978-bis-1990,,,,,,Rhein-Main 2018
Internationales Theaterinstitut (ITI) Deutschland / Mime Centrum Berlin,Tanz und Theater: Mediathek des Mime Centrums,https://codingdavinci.de/de/daten/tanz-und-theater-mediathek-des-mime-centrums,,,,,,Berlin 2015
Justus­-Liebig Universität Gießen,Holocaust­ und Lagerliteratur (1933­ - 1949) ­,https://codingdavinci.de/de/daten/holocaust-und-lagerliteratur-1933-1949,,,,,,Berlin 2015
Jüdisches Museum Berlin,Druckgrafische Arbeiten von Hermann Struck (1876-1944),https://codingdavinci.de/de/daten/druckgrafische-arbeiten-von-hermann-struck-1876-1944,,,,,,Berlin 2015
Landesarchiv Baden-Württemberg,Fotosammlung Willy Pragher,https://codingdavinci.de/de/daten/fotosammlung-willy-pragher,14_Landesarchiv BW_Fotosammlung Pragher.jpg,CC BY,"Landesarchiv Baden-Württemberg, Fotograf: Willy Pragher",/sites/default/files/2019-04/14_Landesarchiv%20BW_Fotosammlung%20Pragher.jpg,image/jpeg,Süd 2019
Landesarchiv Baden-Württemberg,Fotos und Grafiken des Staatstheaters Stuttgart,https://codingdavinci.de/de/daten/fotos-und-grafiken-des-staatstheaters-stuttgart,13_Landesarchiv BW_Staatstheater Stuttgart.jpg,CC BY,Landesarchiv Baden-Württemberg,/sites/default/files/2019-04/13_Landesarchiv%20BW_Staatstheater%20Stuttgart.jpg,image/jpeg,Süd 2019
Landesarchiv Baden-Württemberg,Patente und ­Zeichnungen aus den Jahren 1840­-1877,https://codingdavinci.de/de/daten/patente-und-zeichnungen-aus-den-jahren-1840-1877,landesarchivbw.jpeg,CC BY 3.0,Landesarchiv Baden-Württemberg,/sites/default/files/2019-04/landesarchivbw.jpeg,image/jpeg,Berlin 2015
Landesarchiv Baden-Württemberg,Militärhistorische Bildsammlung,https://codingdavinci.de/de/daten/militaerhistorische-bildsammlung,labw.jpg,CC BY,Landesarchiv Baden-Württemberg,/sites/default/files/2019-04/labw.jpg,image/jpeg,Berlin 2014
Language Science Press,Linguistische Beispielsätze aus vielen Sprachen,https://codingdavinci.de/de/daten/linguistische-beispielsaetze-aus-vielen-sprachen,wals-sov.png,CC BY-SA 4.0,Language Science Press,/sites/default/files/2019-04/wals-sov.png,image/png,Berlin 2015
Max-Planck-Institut für Wissenschaftsgeschichte Berlin,ECHO–Cultural Heritage Online,https://codingdavinci.de/de/daten/echo-cultural-heritage-online,,,,,,Berlin 2014
Museumsdorf Cloppenburg – Niedersächsisches Freilichtmuseum,"Blumenmoden, Zeitgeschmack und Weltbezug von 1700 bis 1900",https://codingdavinci.de/de/daten/blumenmoden-zeitgeschmack-und-weltbezug-von-1700-bis-1900,17213_jpg.jpg,CC BY-SA,Museumsdorf Cloppenburg & Niedersächsisches Freilichtmuseum,/sites/default/files/2019-04/17213_jpg.jpg,image/jpeg,Berlin 2015
Regesta Imperii,"Regesten von Urkunden der Kaiser, Könige und einiger Päpste des Mittelalters (800 bis 1500)",https://codingdavinci.de/de/daten/regesten-von-urkunden-der-kaiser-koenige-und-einiger-paepste-des-mittelalters-800-bis-1500,,,,,,Berlin 2015
NS-Buchverbotsliste,"Liste des ""unerwünschten Schrifttums""",https://codingdavinci.de/de/daten/liste-des-unerwuenschten-schrifttums,,,,,,Berlin 2014
Staatsbibliothek zu Berlin – Preußischer Kulturbesitz,Digitalisierte historische Zeitungen,https://codingdavinci.de/de/daten/digitalisierte-historische-zeitungen,F_SBB_00009_19140802_062_361_0_001_cropped_1000px-wide_upper-half.png,CC0 1.0,,/sites/default/files/2019-04/F_SBB_00009_19140802_062_361_0_001_cropped_1000px-wide_upper-half.png,image/png,Berlin 2015
Staatsbibliothek zu Berlin – Preußischer Kulturbesitz,Digitalisierte historische Zeitungen,https://codingdavinci.de/de/daten/digitalisierte-historische-zeitungen,F_SBB_00009_19140802_062_361_0_001_cropped_1000px-wide_upper-half.png,CC0 1.0,,/sites/default/files/2019-04/F_SBB_00009_19140802_062_361_0_001_cropped_1000px-wide_upper-half.png,image/png,Berlin 2017
Staatsbibliothek zu Berlin – Preußischer Kulturbesitz,Europeana Collections: 1914 bis 1918,https://codingdavinci.de/de/daten/europeana-collections-1914-bis-1918,sbb.jpg,public domain,,/sites/default/files/2019-04/sbb.jpg,image/jpeg,Berlin 2015
Staatsbibliothek zu Berlin – Preußischer Kulturbesitz,Europeana Collections: 1914 bis 1918,https://codingdavinci.de/de/daten/europeana-collections-1914-bis-1918,sbb.jpg,public domain,,/sites/default/files/2019-04/sbb.jpg,image/jpeg,Berlin 2017
Staatsbibliothek zu Berlin – Preußischer Kulturbesitz,Europeana Collections: 1914 bis 1918,https://codingdavinci.de/de/daten/europeana-collections-1914-bis-1918,sbb.jpg,public domain,,/sites/default/files/2019-04/sbb.jpg,image/jpeg,Berlin 2014
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Das Fahrrad: Technik und Touren,https://codingdavinci.de/de/daten/das-fahrrad-technik-und-touren,020_SLUB_Fahrrad.jpg,CC BY-SA 4.0,SLUB Dresden,/sites/default/files/2019-04/020_SLUB_Fahrrad.jpg,image/jpeg,Ost 2018
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Fotografienachlässe - Oswald Lübeck & Franz Grasser,https://codingdavinci.de/de/daten/fotografienachlaesse-oswald-luebeck-franz-grasser,,,,,,Berlin 2015
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Bibliotheca Gastronomica,https://codingdavinci.de/de/daten/bibliotheca-gastronomica,,,,,,Berlin 2015
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Maya-Handschrift aus dem 13. Jahrhundert,https://codingdavinci.de/de/daten/maya-handschrift-aus-dem-13-jahrhundert,slub_maya_handschrift.jpg,public domain,,/sites/default/files/2019-04/slub_maya_handschrift.jpg,image/jpeg,Berlin 2015
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Eine sächsische Reise im 18. Jahrhundert,https://codingdavinci.de/de/daten/eine-saechsische-reise-im-18-jahrhundert,slub_silbermann_reisetagebuch.jpg,CC BY-SA,,/sites/default/files/2019-04/slub_silbermann_reisetagebuch.jpg,image/jpeg,Berlin 2015
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Paul Hector Mairs ritterliches Lernbuch,https://codingdavinci.de/de/daten/paul-hector-mairs-ritterliches-lernbuch,slub_fechtbuch.jpg,public domain,,/sites/default/files/2019-04/slub_fechtbuch.jpg,image/jpeg,Berlin 2015
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Die Dresdner Bilderhandschrift des Sachsenspiegels,https://codingdavinci.de/de/daten/die-dresdner-bilderhandschrift-des-sachsenspiegels,slub_sachsenspiegel.jpg,public domain,,/sites/default/files/2019-04/slub_sachsenspiegel.jpg,image/jpeg,Berlin 2015
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,Hamburger Architekturfotos der 1920er Jahre,https://codingdavinci.de/de/daten/hamburger-architekturfotos-der-1920er-jahre,sub-2016-schumacher-oelsner.jpg,CC BY-SA,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,/sites/default/files/2019-04/sub-2016-schumacher-oelsner.jpg,image/jpeg,Nord 2016
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,Historische Hamburg- und Elb-Karten 1588 – 1939,https://codingdavinci.de/de/daten/historische-hamburg-und-elb-karten-1588-1939,hist-hh-karte-subhh.jpg,CC BY 4.0,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,/sites/default/files/2019-04/hist-hh-karte-subhh.jpg,image/jpeg,Berlin 2015
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,Historische Hamburg- und Elb-Karten 1588 – 1939,https://codingdavinci.de/de/daten/historische-hamburg-und-elb-karten-1588-1939,hist-hh-karte-subhh.jpg,CC BY 4.0,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,/sites/default/files/2019-04/hist-hh-karte-subhh.jpg,image/jpeg,Nord 2016
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,"Manier, Mythos und Moral – Niederländische Druckgrafik um 1600",https://codingdavinci.de/de/daten/manier-mythos-und-moral-niederlaendische-druckgrafik-um-1600,kupferstiche-subhh.jpg,CC BY 4.0,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,/sites/default/files/2019-04/kupferstiche-subhh.jpg,image/jpeg,Berlin 2015
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,"Manier, Mythos und Moral – Niederländische Druckgrafik um 1600",https://codingdavinci.de/de/daten/manier-mythos-und-moral-niederlaendische-druckgrafik-um-1600,kupferstiche-subhh.jpg,CC BY 4.0,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,/sites/default/files/2019-04/kupferstiche-subhh.jpg,image/jpeg,Nord 2016
Stiftung Haus der Geschichte der Bundesrepublik Deutschland,Fotos der Studentenrevolte 1967/68,https://codingdavinci.de/de/daten/fotos-der-studentenrevolte-196768,hausdergeschichte.jpg,CC BY-SA 3.0 DE,,/sites/default/files/2019-04/hausdergeschichte.jpg,image/jpeg,Berlin 2015
Stiftung Stadtmuseum Berlin,Tausendmal Berlin,https://codingdavinci.de/de/daten/tausendmal-berlin,stdmub-2017-1000x.jpg,CC BY 3.0,Stadtmuseum Berlin,/sites/default/files/2019-04/stdmub-2017-1000x.jpg,image/jpeg,Berlin 2017
Stiftung Stadtmuseum Berlin,Heinrich Zille: Ein Berliner unter Berlinern,https://codingdavinci.de/de/daten/heinrich-zille-ein-berliner-unter-berlinern,stdmub-2017-zille.jpg,public domain,Stadtmuseum Berlin,/sites/default/files/2019-04/stdmub-2017-zille.jpg,image/jpeg,Berlin 2017
Stiftung Stadtmuseum Berlin,Geologische Sammlung des Stadtmuseums Berlin,https://codingdavinci.de/de/daten/geologische-sammlung-des-stadtmuseums-berlin,stadtmuseumberlin.jpg,CC BY,,/sites/default/files/2019-04/stadtmuseumberlin.jpg,image/jpeg,Berlin 2015
Stiftung Stadtmuseum Berlin,Heinrich Zille: Zeichner und Berliner Schnauze,https://codingdavinci.de/de/daten/heinrich-zille-zeichner-und-berliner-schnauze,stadtmuseum_zille.jpg,public domain,,/sites/default/files/2019-04/stadtmuseum_zille.jpg,image/jpeg,Berlin 2014
Stiftung Stadtmuseum Berlin,Berliner Stadtansichten,https://codingdavinci.de/de/daten/berliner-stadtansichten-0,blick_von_oberbaumbruecke.jpg,public domain,,/sites/default/files/2019-04/blick_von_oberbaumbruecke.jpg,image/jpeg,Berlin 2014
"Steinheim-Institut für deutsch-jüdische Geschichte, Essen",Grabmale historischer jüdischer Friedhöfe,https://codingdavinci.de/de/daten/grabmale-historischer-juedischer-friedhoefe,grabsteine.jpeg,CC BY 4.0,Salomon Ludwig Steinheim-Institut für deutsch-jüdische Geschichte & epigraphische Datenbank epidat,/sites/default/files/2019-04/grabsteine.jpeg,image/jpeg,Berlin 2014
TextGrid’s Digitale Bibliothek,TextGrid’s Digitale Bibliothek,https://codingdavinci.de/de/daten/textgrids-digitale-bibliothek,dariah_verne.jpeg,CC BY 3.0,Forschungsprojekt TextGrid,/sites/default/files/2019-04/dariah_verne.jpeg,image/jpeg,Berlin 2014
"Universität Leipzig, Humboldt Lehrstuhl für Digital Humanities",Texte klassischer Philologien,https://codingdavinci.de/de/daten/texte-klassischer-philologien,unileipzig.jpg,CC BY-SA 4.0,Alexander von Humboldt Chair in Digital Humanities at the University of Leipzig,/sites/default/files/2019-04/unileipzig.jpg,image/jpeg,Berlin 2015
Universitätsbibliothek der Bauhaus-Universität Weimar,Bauhaus: Bücher und Zeitschriften,https://codingdavinci.de/de/daten/bauhaus-buecher-und-zeitschriften,bauhausuniweimar.jpg,CC0 1.0,,/sites/default/files/2019-04/bauhausuniweimar.jpg,image/jpeg,Berlin 2015
Universitätsbibliothek Leipzig,Illuminierte mittelalterliche Handschriften,https://codingdavinci.de/de/daten/illuminierte-mittelalterliche-handschriften,041_UBL_Handschriften.jpg,public domain,,/sites/default/files/2019-04/041_UBL_Handschriften.jpg,image/jpeg,Ost 2018
Universitätsbibliothek Leipzig,Wasserzeichensammlung der UB Leipzig,https://codingdavinci.de/de/daten/wasserzeichensammlung-der-ub-leipzig,uni-lpz-was.jpg,CC0 1.0,Universitätsbibliothek Leipzig,/sites/default/files/2019-04/uni-lpz-was.jpg,image/jpeg,Berlin 2017
Universitätsbibliothek Leipzig,Portraitindex der UB Leipzig,https://codingdavinci.de/de/daten/portraitindex-der-ub-leipzig,potraitindex.jpg,public domain,,/sites/default/files/2019-04/potraitindex.jpg,image/jpeg,Berlin 2015
veikkos-­archiv,Siegelmarken zwischen 1850­-1945,https://codingdavinci.de/de/daten/siegelmarken-zwischen-1850-1945,,,,,,Berlin 2015
Verwaltungsinformationszentrum des Bezirksamtes Charlottenburg­ - Wilmersdorf von Berlin,Handschriften aus Charlottenburg,https://codingdavinci.de/de/daten/handschriften-aus-charlottenburg,buergerverzeichnis_charlottenburg-namensliste.jpg,public domain,,/sites/default/files/2019-04/buergerverzeichnis_charlottenburg-namensliste.jpg,image/jpeg,Berlin 2015
Museum für Naturkunde Berlin,Reisetagebücher und Exkursionsberichte,https://codingdavinci.de/de/daten/reisetagebuecher-und-exkursionsberichte,031_NaturkundeB_Sellow.jpg,CC BY-SA,Museum für Naturkunde Berlin,/sites/default/files/2019-04/031_NaturkundeB_Sellow.jpg,image/jpeg,Ost 2018
Museum für Naturkunde Berlin,Muscheln und Schnecken des Naturkundemuseums Berlin,https://codingdavinci.de/de/daten/muscheln-und-schnecken-des-naturkundemuseums-berlin,030_NaturkundeB_Molusken.jpg,CC BY-SA,"Museum für Naturkunde Berlin, Bernhard Schurian",/sites/default/files/2019-04/030_NaturkundeB_Molusken.jpg,image/jpeg,Ost 2018
